row,payload,status,error
0,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 ABEL GRIS BRILLO BOLD', 'code': 'CERAABGFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
1,"{'batch_id': 64, 'measure_unit_id': 2, 'name': 'CERA. 30X40 ACUARELLA BRILO', 'code': 'CERAACBFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
2,"{'batch_id': 188, 'measure_unit_id': 2, 'name': 'CERA. 57X57 AMANECER BRILLO BOLD', 'code': 'CERAAMBTRIU01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
3,"{'batch_id': 64, 'measure_unit_id': 2, 'name': 'CERA. 30X40 APOLLO DORADO BRILLO BOLD', 'code': 'CERAAPDFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
4,"{'batch_id': 22, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ARIZONA BEIGE RUSTICO', 'code': 'CERAARBLUME01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
5,"{'batch_id': 188, 'measure_unit_id': 2, 'name': 'CERA. 57X57 ASTRO BRILLO BOLD', 'code': 'CERAASBTRIU01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
6,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 ASTERIX MARRON BRILLO BOLD', 'code': 'CERAASMFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
7,"{'batch_id': 37, 'measure_unit_id': 1, 'name': 'FORTE 20kg', 'code': 'CEMEFORCALE03'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
8,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 BASIC AMARILLO BRILLO', 'code': 'CERABAAFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
9,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 BALAU BRILLO', 'code': 'CERABABFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
10,"{'batch_id': 70, 'measure_unit_id': 2, 'name': 'CERA. 42X42 BAUME CEDRO BRILLO BOLD', 'code': 'CERABACFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
11,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 BALAU MATE', 'code': 'CERABAMFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
12,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 BASIC WHITE BRILLO', 'code': 'CERABAWFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
13,"{'batch_id': 61, 'measure_unit_id': 2, 'name': 'CERA. 33X61 BEIGE ABSOLUTE BRILLO BOLD.', 'code': 'CERABEAEMBR02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
14,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 BEREA ARENA MATE', 'code': 'CERABEAFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
15,"{'batch_id': 64, 'measure_unit_id': 2, 'name': 'CERA. 30X40 BLANCO EXTERIOR', 'code': 'CERABLEFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
16,"{'batch_id': 14, 'measure_unit_id': 2, 'name': 'CERA. 33X60 336770 BLANCO NIEVE BRILLO', 'code': 'CERABLNBRAS02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
17,"{'batch_id': 64, 'measure_unit_id': 2, 'name': 'CERA. 30X40 BOTECINO ESCARLATA BRILLO', 'code': 'CERABOEFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
18,"{'batch_id': 37, 'measure_unit_id': 1, 'name': 'DURAMIX 20kg', 'code': 'CEMEDURECOR03'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
19,"{'batch_id': 67, 'measure_unit_id': 2, 'name': 'CERA. 34X34 BUDAPEST MOCA BRILLO BOLD', 'code': 'CERABUMFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
20,"{'batch_id': 13, 'measure_unit_id': 2, 'name': 'CERA. 32X56 32200 CATEDRAL BLANCO BRILLO BOLD', 'code': 'CERACABBRAS02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
21,"{'batch_id': 66, 'measure_unit_id': 2, 'name': 'CERA. 30X50 CARANDA BRILLO', 'code': 'CERACABFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
22,"{'batch_id': 65, 'measure_unit_id': 2, 'name': 'CERA. 30X42 CANYON HD', 'code': 'CERACAHFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
23,"{'batch_id': 12, 'measure_unit_id': 2, 'name': 'CERA. 32X51 HD570 CATEDRAL NEGRO BRILLO BOLD', 'code': 'CERACANBRAS02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
24,"{'batch_id': 63, 'measure_unit_id': 2, 'name': 'CERA. 22X34 CALI VERDE BRILLO BOLD', 'code': 'CERACAVFABO02'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
25,"{'batch_id': 22, 'measure_unit_id': 2, 'name': 'CERA. 60X60 COVATO BRILLO', 'code': 'CERACOBFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
26,"{'batch_id': 76, 'measure_unit_id': 2, 'name': 'CERA. 61X61 COVATO EXTERIOR ', 'code': 'CERACOEFABO01'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
